
@relation 'Luv'
@attribute x real
@attribute y real
@attribute L real
@attribute U real
@attribute V real
@data
4,58,83.861162,6.163709,-6.039210
4,59,81.983430,7.619614,-6.863155
4,60,84.267532,7.315486,-6.589220
4,61,85.272188,7.187289,-6.473750
4,62,87.292427,6.441737,-5.148373
4,63,86.327243,6.550671,-5.235436
4,64,87.347551,6.296474,-6.780154
4,65,87.970157,7.610598,-7.602508
4,66,85.621977,11.480805,-8.805088
4,67,84.392050,12.993673,-8.729869
4,68,82.034452,16.988272,-10.112904
4,69,74.804346,26.822302,-10.980308
4,70,71.654032,30.254326,-10.258334
4,71,73.532937,26.132085,-10.021511
4,72,77.770809,19.832639,-10.149248
4,73,79.079585,18.559490,-10.985119
4,74,79.832534,17.279490,-11.050774
4,75,82.522774,11.796223,-9.366011
4,76,84.281757,8.036493,-8.959044
4,77,85.201534,7.286654,-8.947374
4,78,87.156890,5.912329,-8.090787
4,79,86.646814,6.606437,-7.622618
4,80,87.984859,6.456363,-7.449460
4,81,88.868224,4.997355,-6.456617
4,82,89.330557,4.409779,-6.134413
4,83,89.892542,4.336348,-6.467589
4,84,89.618361,4.901937,-6.767626
4,85,88.947017,5.575258,-6.323907
4,86,89.605171,4.935267,-6.376400
4,87,90.795684,3.199768,-5.839701
4,88,91.771204,2.620256,-5.483866
4,89,91.506534,3.161931,-5.770646
4,90,91.682785,3.152651,-5.753709
4,91,91.506534,3.161931,-5.770646
4,92,90.974283,3.190200,-5.822238
4,93,90.795684,3.199768,-5.839701
4,94,90.833687,3.480834,-5.775771
4,95,90.602501,4.316097,-6.004093
4,96,90.344984,4.842300,-6.685291
4,97,89.066760,4.947928,-6.831121
4,98,89.131947,5.557761,-6.304060
4,99,89.407596,6.078891,-6.545857
5,0,46.091905,-12.705535,-12.319095
5,1,47.855930,-11.591250,-14.323350
5,2,50.101413,-12.281541,-14.679165
5,3,51.022464,-12.022258,-14.369264
5,4,52.358338,-11.658791,-13.934842
5,5,52.792224,-11.543863,-13.797477
5,6,53.220705,-11.431837,-13.663581
5,7,55.028322,-10.476421,-14.494098
5,8,56.389604,-11.192052,-12.839090
5,9,56.530475,-12.785525,-13.138861
5,10,58.049852,-12.365933,-12.707673
5,11,58.049852,-12.365933,-12.707673
5,12,57.566542,-10.935407,-13.219668
5,13,57.914718,-10.822343,-12.414974
5,14,56.776896,-11.096559,-12.729544
5,15,54.507317,-13.349578,-12.986786
5,16,55.631020,-11.411889,-13.795682
5,17,55.231133,-11.513804,-13.918885
5,18,55.347722,-13.125610,-13.488344
5,19,57.298038,-12.571176,-12.918588
5,20,58.049852,-12.365933,-12.707673
5,21,56.804661,-11.119696,-13.442453
5,22,57.566542,-10.935407,-13.219668
5,23,56.804661,-11.119696,-13.442453
5,24,56.995514,-10.031236,-13.878185
5,25,57.914718,-10.822343,-12.414974
5,26,57.298038,-12.571176,-12.918588
5,27,56.026491,-11.312288,-13.675275
5,28,55.026785,-9.817046,-12.130961
5,29,56.328187,-7.699924,-7.718371
5,30,56.988927,-5.983334,-7.997209
5,31,55.964453,-7.802293,-8.539300
5,32,56.329669,-8.364981,-10.075600
5,33,57.429622,-9.371652,-12.926529
